date,numbers,powerball_winners,powerball_price,winner_location
2004-12-29,"['24', '29', '33', '38', '44', '7']",0,$7.6 MILLION,None
2005-01-01,"['22', '23', '26', '44', '47', '12']",0,$11.8 MILLION,None
2005-01-05,"['4', '7', '10', '30', '37', '37']",0,$15.7 MILLION,None
2005-01-08,"['9', '11', '22', '24', '43', '2']",1,$20.2 MILLION,WI
2005-01-12,"['21', '23', '27', '38', '50', '38']",0,$5.5 MILLION,None
2005-01-15,"['21', '26', '37', '49', '51', '25']",0,$7.2 MILLION,None
2005-01-19,"['9', '18', '32', '33', '49', '27']",0,$10.6 MILLION,None
2005-01-22,"['11', '23', '32', '33', '34', '38']",1,$14.7 MILLION,PA
2005-01-26,"['5', '32', '43', '47', '48', '33']",0,$5.6 MILLION,None
2005-01-29,"['11', '16', '20', '29', '41', '12']",0,$6.8 MILLION,None
2005-02-02,"['10', '11', '16', '40', '44', '2']",0,$10.3 MILLION,None
2005-02-05,"['11', '34', '37', '44', '47', '23']",0,$14.5 MILLION,None
2005-02-09,"['9', '10', '15', '18', '29', '9']",0,$18.4 MILLION,None
2005-02-12,"['18', '21', '28', '49', '50', '16']",1,$23.0 MILLION,LA
2005-02-16,"['21', '25', '27', '41', '48', '25']",0,$5.7 MILLION,None
2005-02-19,"['12', '15', '18', '27', '52', '36']",0,$7.0 MILLION,None
2005-02-23,"['4', '10', '15', '48', '51', '13']",1,$10.4 MILLION,ID
2005-02-26,"['8', '22', '30', '33', '49', '6']",0,$5.6 MILLION,None
2005-03-02,"['3', '10', '18', '46', '48', '8']",0,$6.8 MILLION,None
2005-03-05,"['9', '13', '27', '40', '53', '28']",1,$10.8 MILLION,IN
2005-03-09,"['10', '17', '20', '23', '45', '31']",0,$5.4 MILLION,None
2005-03-12,"['7', '23', '40', '46', '52', '41']",0,$6.8 MILLION,None
2005-03-16,"['11', '19', '25', '38', '50', '35']",1,$10.2 MILLION,PA
2005-03-19,"['1', '21', '28', '32', '41', '9']",0,$5.5 MILLION,None
2005-03-23,"['23', '29', '37', '40', '45', '38']",0,$6.6 MILLION,None
2005-03-26,"['9', '12', '35', '41', '51', '36']",0,$10.4 MILLION,None
2005-03-30,"['22', '28', '32', '33', '39', '42']",1,$13.9 MILLION,TN
2005-04-02,"['5', '9', '11', '17', '46', '39']",0,$5.5 MILLION,None
2005-04-06,"['5', '11', '14', '22', '51', '17']",0,$6.6 MILLION,None
2005-04-09,"['1', '11', '35', '46', '53', '29']",0,$10.2 MILLION,None
2005-04-13,"['6', '13', '37', '51', '52', '25']",0,$13.6 MILLION,None
2005-04-16,"['11', '38', '44', '45', '51', '41']",0,$17.6 MILLION,None
2005-04-20,"['7', '16', '33', '34', '46', '27']",0,$21.3 MILLION,None
2005-04-23,"['8', '9', '13', '15', '50', '9']",0,$25.8 MILLION,None
2005-04-27,"['11', '13', '18', '32', '42', '4']",0,$30.2 MILLION,None
2005-04-30,"['8', '15', '17', '32', '48', '24']",0,$35.4 MILLION,None
2005-05-04,"['10', '21', '27', '33', '40', '2']",0,$40.8 MILLION,None
2005-05-07,"['21', '23', '39', '44', '47', '19']",0,$47.2 MILLION,None
2005-05-11,"['5', '25', '46', '48', '49', '6']",0,$54.1 MILLION,None
2005-05-14,"['21', '29', '38', '49', '52', '42']",0,$63.6 MILLION,None
2005-05-18,"['7', '13', '17', '20', '35', '35']",0,$74.0 MILLION,None
2005-05-21,"['2', '5', '7', '10', '30', '23']",0,$86.9 MILLION,None
2005-05-25,"['27', '29', '31', '42', '46', '33']",0,$103.2 MILLION,None
2005-05-28,"['5', '7', '24', '28', '39', '36']",1,$125.3 MILLION,ID
2005-06-01,"['15', '34', '39', '42', '50', '12']",0,$5.7 MILLION,None
2005-06-04,"['7', '16', '38', '44', '48', '18']",0,$7.8 MILLION,None
2005-06-08,"['10', '36', '40', '42', '43', '42']",0,$11.6 MILLION,None
2005-06-11,"['3', '10', '14', '24', '46', '37']",0,$16.0 MILLION,None
2005-06-15,"['14', '20', '22', '39', '44', '14']",0,$20.1 MILLION,None
2005-06-18,"['5', '8', '10', '16', '24', '5']",0,$25.0 MILLION,None
2005-06-22,"['9', '13', '23', '42', '51', '15']",0,$29.5 MILLION,None
2005-06-25,"['7', '28', '31', '32', '40', '14']",1,$34.7 MILLION,CT
2005-06-29,"['3', '8', '22', '42', '49', '39']",1,$5.8 MILLION,WV
2005-07-02,"['9', '10', '29', '39', '52', '20']",0,$5.8 MILLION,None
2005-07-06,"['2', '12', '25', '30', '48', '38']",0,$6.9 MILLION,None
2005-07-09,"['8', '9', '39', '47', '53', '4']",0,$10.4 MILLION,None
2005-07-13,"['4', '5', '13', '23', '43', '34']",0,$13.9 MILLION,None
