date,numbers,powerball_winners,powerball_price,winner_location
2007-05-26,"['1', '5', '21', '46', '51', '29']",0,$6.9 MILLION,None
2007-05-30,"['7', '23', '35', '54', '55', '28']",0,$9.2 MILLION,None
2007-06-02,"['2', '22', '32', '36', '47', '36']",0,$11.6 MILLION,None
2007-06-06,"['5', '9', '14', '45', '48', '28']",0,$15.6 MILLION,None
2007-06-09,"['7', '10', '25', '32', '41', '22']",0,$20.2 MILLION,None
2007-06-13,"['10', '13', '28', '30', '47', '26']",0,$24.6 MILLION,None
2007-06-16,"['4', '8', '32', '47', '51', '27']",0,$29.8 MILLION,None
2007-06-20,"['23', '31', '32', '37', '55', '35']",0,$34.7 MILLION,None
2007-06-23,"['14', '15', '27', '43', '53', '28']",0,$40.5 MILLION,None
2007-06-27,"['9', '11', '13', '24', '43', '18']",1,$46.8 MILLION,OK
2007-06-30,"['24', '38', '39', '46', '47', '26']",0,$6.7 MILLION,None
2007-07-04,"['1', '2', '15', '17', '49', '35']",0,$8.9 MILLION,None
2007-07-07,"['15', '21', '27', '41', '47', '20']",0,$13.5 MILLION,None
2007-07-11,"['8', '20', '29', '42', '43', '35']",0,$17.6 MILLION,None
2007-07-14,"['1', '21', '30', '34', '36', '37']",0,$22.5 MILLION,None
2007-07-18,"['3', '9', '14', '40', '42', '3']",0,$27.0 MILLION,None
2007-07-21,"['14', '30', '39', '43', '46', '14']",0,$32.1 MILLION,None
2007-07-25,"['28', '35', '40', '47', '53', '30']",0,$37.1 MILLION,None
2007-07-28,"['15', '19', '24', '27', '47', '11']",0,$43.1 MILLION,None
2007-08-01,"['9', '16', '23', '51', '52', '12']",0,$49.6 MILLION,None
2007-08-04,"['2', '23', '24', '27', '36', '3']",0,$57.3 MILLION,None
2007-08-08,"['9', '16', '21', '30', '52', '9']",0,$65.3 MILLION,None
2007-08-11,"['1', '10', '11', '37', '40', '20']",0,$74.9 MILLION,None
2007-08-15,"['19', '22', '24', '38', '51', '9']",0,$85.9 MILLION,None
2007-08-18,"['12', '15', '28', '31', '50', '12']",0,$100.0 MILLION,None
2007-08-22,"['12', '37', '40', '48', '50', '37']",0,$117.8 MILLION,None
2007-08-25,"['2', '8', '23', '29', '35', '19']",1,$146.0 MILLION,IN
2007-08-29,"['13', '16', '33', '44', '47', '29']",0,$7.0 MILLION,None
2007-09-01,"['12', '19', '23', '37', '39', '13']",0,$9.4 MILLION,None
2007-09-05,"['11', '20', '21', '30', '48', '18']",1,$13.7 MILLION,WI
2007-09-08,"['7', '12', '28', '30', '48', '40']",0,$7.1 MILLION,None
2007-09-12,"['5', '24', '26', '33', '47', '1']",0,$9.4 MILLION,None
2007-09-15,"['13', '16', '27', '48', '51', '21']",0,$13.7 MILLION,None
2007-09-19,"['20', '25', '26', '45', '46', '15']",0,$18.3 MILLION,None
2007-09-22,"['4', '9', '18', '43', '55', '3']",0,$23.5 MILLION,None
2007-09-26,"['25', '27', '31', '44', '54', '8']",1,$28.6 MILLION,KY
2007-09-29,"['31', '33', '38', '49', '55', '39']",1,$7.0 MILLION,LA
2007-10-03,"['2', '4', '14', '15', '28', '23']",1,$7.0 MILLION,CT
2007-10-06,"['8', '30', '32', '33', '51', '2']",0,$7.1 MILLION,None
2007-10-10,"['12', '16', '31', '33', '54', '5']",1,$9.4 MILLION,CO
2007-10-13,"['21', '30', '34', '36', '49', '42']",0,$7.0 MILLION,None
2007-10-17,"['14', '15', '19', '42', '46', '37']",0,$9.4 MILLION,None
2007-10-20,"['10', '11', '37', '40', '54', '10']",0,$12.0 MILLION,None
2007-10-24,"['10', '11', '18', '49', '52', '2']",0,$15.9 MILLION,None
2007-10-27,"['13', '25', '30', '40', '43', '12']",0,$20.5 MILLION,None
2007-10-31,"['6', '16', '18', '29', '37', '24']",0,$24.7 MILLION,None
2007-11-03,"['1', '31', '38', '40', '53', '42']",0,$29.7 MILLION,None
2007-11-07,"['22', '29', '35', '46', '52', '2']",0,$34.5 MILLION,None
2007-11-10,"['6', '22', '24', '26', '30', '12']",0,$40.1 MILLION,None
2007-11-14,"['16', '18', '20', '30', '48', '6']",0,$45.7 MILLION,None
2007-11-17,"['17', '27', '49', '52', '53', '23']",0,$52.7 MILLION,None
2007-11-21,"['3', '11', '13', '20', '40', '20']",0,$59.9 MILLION,None
2007-11-24,"['1', '7', '13', '23', '35', '19']",0,$67.0 MILLION,None
2007-11-28,"['8', '23', '32', '37', '39', '38']",1,$75.2 MILLION,RI
2007-12-01,"['7', '32', '39', '41', '55', '13']",0,$7.5 MILLION,None
2007-12-05,"['1', '8', '15', '21', '55', '41']",0,$10.0 MILLION,None
2007-12-08,"['4', '8', '25', '29', '31', '41']",0,$12.4 MILLION,None
2007-12-12,"['7', '14', '33', '40', '55', '15']",1,$16.5 MILLION,KY
2007-12-15,"['22', '37', '47', '48', '50', '17']",0,$7.3 MILLION,None
2007-12-19,"['15', '18', '22', '23', '42', '37']",0,$9.8 MILLION,None
2007-12-22,"['5', '10', '11', '34', '38', '21']",0,$12.5 MILLION,None
2007-12-26,"['8', '32', '41', '54', '55', '20']",0,$16.6 MILLION,None
2007-12-29,"['8', '12', '17', '35', '49', '18']",0,$21.4 MILLION,None
2008-01-02,"['2', '11', '31', '34', '48', '5']",0,$25.7 MILLION,None
2008-01-05,"['4', '11', '16', '33', '40', '9']",0,$31.1 MILLION,None
2008-01-09,"['2', '13', '20', '21', '23', '24']",0,$36.2 MILLION,None
2008-01-12,"['23', '39', '43', '47', '53', '14']",0,$42.3 MILLION,None
2008-01-16,"['9', '18', '19', '38', '47', '11']",1,$48.5 MILLION,LA
2008-01-19,"['20', '23', '25', '27', '28', '2']",0,$7.5 MILLION,None
2008-01-23,"['4', '16', '35', '47', '48', '39']",0,$10.0 MILLION,None
2008-01-26,"['11', '35', '39', '53', '54', '24']",0,$12.7 MILLION,None
2008-01-30,"['2', '17', '41', '54', '55', '17']",0,$16.9 MILLION,None
2008-02-02,"['14', '16', '25', '26', '44', '30']",0,$21.8 MILLION,None
2008-02-06,"['3', '5', '12', '42', '43', '5']",0,$26.4 MILLION,None
2008-02-09,"['4', '23', '24', '30', '43', '28']",0,$31.8 MILLION,None
2008-02-13,"['13', '19', '32', '38', '51', '30']",0,$36.7 MILLION,None
2008-02-16,"['3', '4', '8', '20', '49', '18']",0,$42.7 MILLION,None
2008-02-20,"['9', '12', '20', '22', '36', '31']",0,$49.6 MILLION,None
2008-02-23,"['8', '13', '23', '29', '47', '32']",0,$57.5 MILLION,None
2008-02-23,"['8', '13', '23', '29', '47', '32']",0,$57.5 MILLION,None
2008-02-27,"['20', '24', '37', '48', '53', '11']",0,$65.9 MILLION,None
2008-03-01,"['2', '19', '21', '31', '55', '19']",0,$75.9 MILLION,None
2008-03-05,"['10', '15', '16', '23', '31', '5']",0,$86.7 MILLION,None
2008-03-08,"['17', '29', '31', '34', '49', '16']",0,$100.9 MILLION,None
2008-03-12,"['12', '19', '30', '34', '36', '8']",0,$117.6 MILLION,None
2008-03-15,"['6', '22', '42', '43', '47', '16']",1,$139.4 MILLION,WV
2008-03-19,"['6', '8', '29', '41', '49', '42']",0,$7.6 MILLION,None
2008-03-22,"['7', '25', '28', '46', '48', '19']",0,$10.3 MILLION,None
2008-03-26,"['9', '12', '20', '37', '49', '17']",0,$14.0 MILLION,None
2008-03-29,"['18', '20', '25', '31', '36', '7']",0,$19.2 MILLION,None
2008-04-02,"['1', '34', '37', '44', '55', '33']",0,$24.0 MILLION,None
2008-04-05,"['12', '27', '30', '37', '47', '26']",0,$29.6 MILLION,None
2008-04-09,"['3', '13', '19', '32', '46', '18']",0,$34.9 MILLION,None
2008-04-12,"['11', '29', '48', '52', '55', '36']",0,$41.0 MILLION,None
2008-04-16,"['11', '16', '18', '21', '51', '16']",0,$47.0 MILLION,None
2008-04-19,"['13', '19', '24', '33', '39', '8']",0,$54.3 MILLION,None
2008-04-23,"['11', '20', '21', '22', '39', '1']",0,$61.6 MILLION,None
2008-04-26,"['7', '12', '17', '27', '45', '24']",0,$69.7 MILLION,None
2008-04-30,"['1', '17', '25', '43', '51', '38']",0,$78.2 MILLION,None
2008-05-03,"['2', '28', '36', '42', '46', '40']",1,$88.0 MILLION,MN
2008-05-07,"['9', '25', '26', '28', '42', '26']",0,$7.3 MILLION,None
2008-05-10,"['7', '18', '30', '41', '45', '6']",0,$9.7 MILLION,None
2008-05-14,"['19', '21', '29', '32', '46', '32']",0,$12.5 MILLION,None
2008-05-17,"['12', '14', '15', '21', '43', '30']",1,$17.2 MILLION,SC
2008-05-21,"['7', '16', '21', '33', '42', '25']",0,$7.3 MILLION,None
2008-05-24,"['33', '40', '41', '51', '52', '6']",0,$9.7 MILLION,None
2008-05-28,"['10', '18', '22', '37', '45', '9']",0,$12.1 MILLION,None
2008-05-31,"['3', '9', '14', '17', '25', '8']",1,$16.2 MILLION,LA
2008-06-04,"['5', '18', '20', '40', '52', '3']",0,$7.1 MILLION,None
2008-06-07,"['12', '26', '34', '44', '48', '9']",0,$9.6 MILLION,None
2008-06-11,"['7', '18', '21', '28', '49', '1']",0,$12.0 MILLION,None
2008-06-14,"['9', '11', '20', '31', '50', '14']",0,$16.2 MILLION,None
2008-06-18,"['9', '12', '31', '39', '52', '32']",0,$20.6 MILLION,None
2008-06-21,"['7', '8', '9', '31', '50', '31']",0,$25.6 MILLION,None
2008-06-25,"['14', '21', '25', '45', '53', '9']",0,$30.4 MILLION,None
2008-06-28,"['14', '26', '32', '34', '44', '6']",0,$35.9 MILLION,None
2008-07-02,"['4', '33', '46', '48', '52', '17']",1,$41.3 MILLION,OK
2008-07-05,"['1', '24', '34', '47', '48', '18']",0,$7.4 MILLION,None
2008-07-09,"['5', '7', '31', '49', '53', '14']",0,$9.8 MILLION,None
2008-07-12,"['2', '12', '20', '22', '50', '17']",0,$12.6 MILLION,None
2008-07-16,"['3', '15', '23', '29', '42', '17']",0,$16.8 MILLION,None
2008-07-19,"['6', '28', '46', '53', '55', '2']",0,$21.6 MILLION,None
2008-07-23,"['11', '14', '35', '41', '52', '2']",0,$26.2 MILLION,None
2008-07-26,"['12', '13', '21', '51', '55', '18']",0,$31.4 MILLION,None
2008-07-30,"['3', '25', '45', '51', '55', '13']",0,$36.5 MILLION,None
2008-08-02,"['2', '5', '28', '33', '54', '30']",1,$42.5 MILLION,PA
2008-08-06,"['5', '24', '36', '37', '51', '19']",0,$7.4 MILLION,None
2008-08-09,"['32', '40', '43', '49', '53', '21']",0,$9.6 MILLION,None
2008-08-13,"['5', '10', '19', '23', '31', '26']",0,$12.3 MILLION,None
2008-08-16,"['5', '34', '40', '43', '52', '20']",0,$16.9 MILLION,None
2008-08-20,"['15', '16', '24', '35', '47', '26']",0,$21.1 MILLION,None
2008-08-23,"['18', '24', '33', '47', '48', '23']",0,$25.8 MILLION,None
2008-08-27,"['13', '31', '36', '48', '49', '11']",0,$30.3 MILLION,None
2008-08-30,"['2', '14', '15', '32', '47', '36']",0,$35.5 MILLION,None
2008-09-03,"['38', '40', '46', '49', '50', '34']",0,$40.4 MILLION,None
2008-09-06,"['17', '25', '26', '49', '54', '11']",0,$46.6 MILLION,None
2008-09-10,"['14', '15', '28', '37', '53', '18']",0,$53.5 MILLION,None
2008-09-13,"['7', '17', '29', '43', '51', '38']",0,$61.4 MILLION,None
2008-09-17,"['12', '23', '26', '32', '44', '20']",0,$69.5 MILLION,None
2008-09-20,"['6', '28', '30', '40', '47', '24']",0,$79.0 MILLION,None
2008-09-24,"['5', '13', '21', '32', '36', '33']",0,$89.4 MILLION,None
2008-09-27,"['13', '24', '29', '40', '52', '29']",1,$102.9 MILLION,NM
2008-10-01,"['8', '9', '39', '43', '55', '26']",0,$7.5 MILLION,None
2008-10-04,"['1', '4', '26', '32', '39', '18']",1,$10.3 MILLION,PA
2008-10-08,"['2', '12', '17', '48', '54', '2']",0,$7.7 MILLION,None
2008-10-11,"['3', '7', '17', '39', '47', '9']",0,$10.1 MILLION,None
2008-10-15,"['3', '13', '32', '38', '48', '13']",0,$12.7 MILLION,None
2008-10-18,"['10', '14', '32', '40', '49', '15']",0,$16.4 MILLION,None
2008-10-22,"['10', '17', '33', '51', '52', '5']",0,$20.6 MILLION,None
2008-10-25,"['1', '3', '14', '38', '48', '2']",0,$25.6 MILLION,None
2008-10-29,"['20', '30', '37', '50', '52', '33']",1,$30.2 MILLION,PA
2008-11-01,"['4', '6', '26', '40', '41', '15']",0,$7.5 MILLION,None
2008-11-05,"['4', '8', '18', '33', '36', '32']",0,$10.0 MILLION,None
2008-11-08,"['2', '4', '21', '36', '40', '41']",0,$12.5 MILLION,None
2008-11-12,"['1', '18', '25', '29', '45', '2']",0,$16.5 MILLION,None
2008-11-15,"['3', '7', '8', '12', '44', '37']",0,$21.2 MILLION,None
2008-11-19,"['8', '13', '38', '39', '45', '31']",0,$25.7 MILLION,None
2008-11-22,"['17', '19', '26', '32', '45', '14']",1,$30.8 MILLION,IN
2008-11-26,"['11', '26', '31', '34', '52', '14']",0,$8.0 MILLION,None
2008-11-29,"['5', '33', '36', '39', '55', '21']",0,$10.8 MILLION,None
2008-12-03,"['16', '17', '21', '25', '55', '3']",0,$13.5 MILLION,None
2008-12-06,"['9', '35', '39', '43', '53', '10']",0,$17.5 MILLION,None
2008-12-10,"['6', '15', '24', '37', '41', '37']",0,$20.4 MILLION,None
2008-12-13,"['14', '26', '28', '31', '40', '13']",0,$25.0 MILLION,None
2008-12-17,"['7', '11', '18', '24', '30', '26']",0,$29.4 MILLION,None
2008-12-20,"['3', '14', '19', '32', '54', '24']",0,$34.5 MILLION,None
2008-12-24,"['2', '17', '22', '32', '41', '8']",0,$40.3 MILLION,None
2008-12-27,"['12', '15', '26', '31', '43', '10']",0,$45.4 MILLION,None
2008-12-31,"['7', '8', '11', '17', '53', '36']",0,$51.4 MILLION,None
2009-01-03,"['17', '22', '24', '38', '55', '24']",0,$57.1 MILLION,None
2009-01-07,"['23', '31', '33', '38', '52', '24']",0,$66.1 MILLION,None
2009-01-10,"['8', '10', '18', '43', '56', '9']",0,$75.9 MILLION,None
2009-01-14,"['8', '25', '34', '39', '46', '34']",0,$86.1 MILLION,None
2009-01-17,"['2', '5', '9', '23', '59', '26']",1,$98.0 MILLION,IN
2009-01-21,"['20', '26', '38', '46', '54', '23']",0,$12.0 MILLION,None
2009-01-24,"['6', '20', '25', '37', '42', '25']",0,$14.1 MILLION,None
2009-01-28,"['5', '10', '18', '23', '32', '4']",0,$16.9 MILLION,None
2009-01-31,"['1', '14', '26', '33', '41', '37']",0,$23.2 MILLION,None
2009-02-04,"['7', '24', '30', '32', '44', '18']",0,$29.2 MILLION,None
2009-02-07,"['5', '18', '20', '28', '53', '27']",0,$36.1 MILLION,None
2009-02-11,"['5', '10', '22', '45', '49', '37']",0,$42.8 MILLION,None
2009-02-14,"['2', '8', '9', '33', '45', '5']",0,$51.1 MILLION,None
2009-02-18,"['2', '15', '39', '44', '56', '15']",0,$59.7 MILLION,None
2009-02-21,"['13', '31', '41', '45', '46', '21']",0,$69.7 MILLION,None
2009-02-25,"['17', '32', '42', '49', '56', '11']",0,$80.2 MILLION,None
2009-02-28,"['3', '16', '20', '42', '58', '7']",2,$93.3 MILLION,"DE, PA"
2009-03-04,"['1', '6', '44', '49', '55', '36']",0,$10.7 MILLION,None
2009-03-07,"['21', '27', '28', '56', '59', '21']",0,$13.4 MILLION,None
2009-03-11,"['3', '7', '13', '34', '47', '30']",0,$17.5 MILLION,None
2009-03-14,"['7', '30', '33', '44', '51', '10']",0,$24.0 MILLION,None
2009-03-18,"['16', '26', '29', '41', '45', '1']",0,$30.1 MILLION,None
2009-03-21,"['19', '23', '27', '49', '52', '21']",0,$37.1 MILLION,None
2009-03-25,"['10', '20', '23', '47', '54', '26']",0,$43.8 MILLION,None
2009-03-28,"['2', '3', '16', '41', '48', '19']",0,$51.7 MILLION,None
2009-04-01,"['2', '9', '33', '41', '54', '14']",0,$60.1 MILLION,None
2009-04-04,"['14', '21', '50', '57', '58', '7']",0,$69.8 MILLION,None
2009-04-08,"['1', '6', '48', '52', '56', '9']",1,$79.7 MILLION,DC
2009-04-11,"['7', '28', '35', '46', '49', '20']",0,$10.9 MILLION,None
2009-04-15,"['16', '22', '26', '27', '59', '5']",0,$13.6 MILLION,None
2009-04-18,"['7', '15', '28', '43', '44', '20']",0,$17.3 MILLION,None
2009-04-22,"['15', '22', '30', '37', '48', '12']",0,$22.8 MILLION,None
2009-04-25,"['8', '26', '30', '42', '52', '15']",0,$29.1 MILLION,None
2009-04-29,"['6', '19', '36', '50', '59', '13']",0,$34.9 MILLION,None
2009-05-02,"['3', '20', '38', '42', '45', '27']",0,$41.9 MILLION,None
2009-05-06,"['7', '8', '12', '22', '31', '18']",0,$49.0 MILLION,None
2009-05-09,"['4', '15', '32', '49', '58', '21']",0,$57.7 MILLION,None
2009-05-13,"['19', '30', '32', '37', '40', '37']",0,$66.5 MILLION,None
2009-05-16,"['6', '7', '31', '40', '56', '38']",0,$76.9 MILLION,None
2009-05-20,"['23', '30', '31', '35', '42', '6']",0,$87.7 MILLION,None
2009-05-23,"['19', '23', '34', '52', '57', '21']",0,$101.0 MILLION,None
2009-05-27,"['5', '6', '12', '16', '21', '7']",1,$118.0 MILLION,SD
2009-05-30,"['1', '23', '42', '51', '59', '20']",0,$9.7 MILLION,None
2009-06-03,"['16', '20', '22', '32', '37', '9']",0,$12.2 MILLION,None
2009-06-06,"['10', '18', '23', '30', '45', '2']",0,$17.0 MILLION,None
2009-06-10,"['15', '26', '27', '42', '58', '37']",0,$22.7 MILLION,None
2009-06-13,"['13', '16', '20', '35', '41', '6']",0,$29.2 MILLION,None
2009-06-17,"['5', '9', '37', '42', '53', '27']",0,$35.5 MILLION,None
2009-06-20,"['3', '11', '18', '22', '28', '33']",1,$42.5 MILLION,NC
2009-06-24,"['16', '18', '24', '51', '53', '16']",0,$9.6 MILLION,None
2009-06-27,"['18', '22', '26', '39', '48', '17']",1,$12.5 MILLION,CT
2009-07-01,"['9', '32', '38', '52', '53', '15']",0,$10.0 MILLION,None
2009-07-04,"['4', '9', '22', '41', '44', '14']",0,$12.7 MILLION,None
2009-07-08,"['19', '42', '50', '53', '56', '39']",0,$15.3 MILLION,None
2009-07-11,"['1', '4', '20', '39', '42', '2']",0,$20.1 MILLION,None
2009-07-15,"['26', '50', '51', '52', '57', '37']",0,$25.3 MILLION,None
2009-07-18,"['4', '21', '26', '28', '47', '37']",0,$31.4 MILLION,None
2009-07-22,"['4', '6', '16', '22', '32', '11']",0,$37.2 MILLION,None
2009-07-25,"['5', '17', '33', '46', '52', '9']",0,$43.9 MILLION,None
2009-07-29,"['2', '5', '38', '43', '59', '8']",0,$51.6 MILLION,None
2009-08-01,"['5', '37', '39', '46', '53', '8']",0,$60.6 MILLION,None
2009-08-05,"['25', '34', '41', '46', '49', '29']",0,$69.8 MILLION,None
2009-08-08,"['4', '33', '37', '45', '50', '11']",0,$80.7 MILLION,None
2009-08-12,"['10', '25', '32', '34', '47', '5']",0,$92.7 MILLION,None
2009-08-15,"['14', '15', '26', '32', '36', '12']",0,$108.6 MILLION,None
2009-08-19,"['14', '24', '31', '43', '51', '27']",1,$129.8 MILLION,SC
2009-08-22,"['3', '6', '20', '32', '51', '23']",0,$10.3 MILLION,None
2009-08-26,"['1', '21', '23', '30', '43', '11']",0,$12.8 MILLION,None
2009-08-29,"['1', '20', '37', '52', '53', '33']",0,$17.5 MILLION,None
2009-09-02,"['18', '23', '36', '47', '59', '36']",0,$23.1 MILLION,None
2009-09-05,"['9', '16', '27', '35', '57', '29']",0,$29.6 MILLION,None
2009-09-09,"['4', '16', '18', '51', '53', '23']",0,$35.7 MILLION,None
2009-09-12,"['13', '28', '38', '41', '56', '25']",0,$42.7 MILLION,None
2009-09-16,"['17', '37', '40', '51', '56', '25']",0,$49.9 MILLION,None
2009-09-19,"['5', '24', '25', '30', '49', '23']",0,$58.7 MILLION,None
2009-09-23,"['7', '8', '20', '25', '29', '11']",0,$67.6 MILLION,None
2009-09-26,"['18', '20', '34', '36', '39', '19']",0,$77.7 MILLION,None
2009-09-30,"['41', '42', '52', '54', '57', '30']",0,$88.3 MILLION,None
2009-10-03,"['12', '24', '48', '50', '57', '22']",1,$101.2 MILLION,FL
2009-10-07,"['2', '20', '21', '38', '50', '22']",0,$10.7 MILLION,None
2009-10-10,"['13', '32', '45', '49', '50', '30']",0,$13.3 MILLION,None
2009-10-14,"['5', '15', '25', '30', '40', '6']",1,$16.7 MILLION,WI
2009-10-17,"['5', '16', '25', '30', '49', '39']",0,$10.1 MILLION,None
2009-10-21,"['6', '16', '34', '45', '51', '4']",0,$12.6 MILLION,None
2009-10-24,"['14', '22', '38', '49', '59', '16']",0,$16.4 MILLION,None
2009-10-28,"['3', '11', '26', '46', '51', '23']",0,$21.8 MILLION,None
2009-10-31,"['2', '19', '26', '41', '54', '23']",0,$28.0 MILLION,None
2009-11-04,"['10', '11', '14', '45', '51', '17']",0,$34.3 MILLION,None
2009-11-07,"['7', '32', '37', '46', '50', '26']",0,$41.4 MILLION,None
2009-11-11,"['8', '12', '14', '22', '29', '22']",1,$48.4 MILLION,KS
2009-11-14,"['19', '30', '32', '48', '57', '14']",0,$10.3 MILLION,None
2009-11-18,"['32', '42', '50', '58', '59', '31']",0,$12.8 MILLION,None
2009-11-21,"['7', '26', '36', '49', '58', '4']",1,$16.7 MILLION,OK
2009-11-25,"['4', '13', '18', '49', '59', '5']",0,$10.1 MILLION,None
2009-11-28,"['26', '27', '28', '46', '50', '21']",0,$12.7 MILLION,None
2009-12-02,"['14', '34', '37', '46', '55', '37']",0,$15.5 MILLION,None
2009-12-05,"['27', '39', '41', '44', '58', '17']",0,$21.3 MILLION,None
2009-12-09,"['1', '5', '12', '13', '58', '21']",0,$26.8 MILLION,None
2009-12-12,"['12', '13', '14', '35', '41', '29']",0,$33.1 MILLION,None
2009-12-16,"['13', '23', '25', '35', '43', '15']",0,$39.3 MILLION,None
2009-12-19,"['17', '24', '39', '41', '47', '21']",0,$46.5 MILLION,None
2009-12-23,"['8', '32', '49', '51', '52', '23']",0,$55.1 MILLION,None
2009-12-26,"['32', '36', '37', '41', '53', '30']",1,$63.5 MILLION,KY
2009-12-30,"['5', '14', '38', '39', '52', '6']",0,$10.0 MILLION,None
2010-01-02,"['3', '7', '23', '27', '42', '37']",1,$12.2 MILLION,AR
2010-01-06,"['20', '27', '29', '56', '58', '31']",0,$9.7 MILLION,None
2010-01-09,"['20', '41', '44', '50', '54', '22']",0,$12.0 MILLION,None
2010-01-13,"['8', '11', '15', '32', '50', '27']",0,$14.5 MILLION,None
2010-01-16,"['7', '8', '23', '41', '55', '23']",0,$20.1 MILLION,None
2010-01-20,"['15', '32', '43', '44', '46', '19']",0,$25.6 MILLION,None
2010-01-23,"['15', '16', '20', '42', '53', '17']",0,$32.1 MILLION,None
2010-01-27,"['6', '15', '20', '26', '31', '9']",0,$38.3 MILLION,None
2010-01-30,"['6', '26', '35', '47', '48', '21']",0,$45.4 MILLION,None
2010-02-03,"['17', '22', '36', '37', '52', '24']",0,$57.1 MILLION,None
2010-02-06,"['14', '22', '52', '54', '59', '4']",1,$69.7 MILLION,NC
2010-02-10,"['5', '8', '29', '37', '38', '34']",0,$9.9 MILLION,None
2010-02-13,"['10', '14', '30', '40', '51', '1']",0,$14.3 MILLION,None
2010-02-17,"['7', '8', '19', '26', '36', '15']",0,$21.5 MILLION,None
2010-02-20,"['13', '27', '37', '41', '54', '32']",0,$29.7 MILLION,None
2010-02-24,"['4', '17', '35', '50', '57', '12']",0,$37.7 MILLION,None
2010-02-27,"['18', '47', '51', '53', '58', '30']",0,$47.0 MILLION,None
2010-03-03,"['7', '9', '14', '45', '49', '23']",0,$57.6 MILLION,None
2010-03-06,"['10', '29', '33', '41', '59', '15']",0,$69.7 MILLION,None
2010-03-10,"['17', '21', '37', '41', '50', '1']",0,$83.2 MILLION,None
2010-03-13,"['6', '16', '20', '31', '36', '8']",1,$101.6 MILLION,NJ
2010-03-17,"['24', '26', '45', '48', '55', '8']",0,$9.6 MILLION,None
2010-03-20,"['9', '36', '39', '44', '45', '9']",0,$14.9 MILLION,None
2010-03-24,"['14', '20', '24', '39', '49', '7']",0,$22.2 MILLION,None
2010-03-27,"['7', '21', '32', '44', '52', '10']",0,$30.7 MILLION,None
2010-03-31,"['5', '13', '17', '45', '54', '12']",0,$39.1 MILLION,None
2010-04-03,"['10', '15', '31', '52', '59', '4']",0,$49.8 MILLION,None
2010-04-07,"['4', '36', '40', '44', '52', '33']",0,$60.3 MILLION,None
2010-04-10,"['21', '22', '49', '52', '58', '34']",0,$72.5 MILLION,None
2010-04-14,"['6', '14', '32', '38', '52', '20']",0,$85.4 MILLION,None
2010-04-17,"['5', '21', '22', '41', '49', '15']",0,$102.8 MILLION,None
2010-04-21,"['11', '34', '41', '49', '55', '20']",1,$124.9 MILLION,MO
2010-04-24,"['1', '12', '53', '56', '57', '5']",0,$9.7 MILLION,None
2010-04-28,"['12', '22', '25', '28', '44', '24']",0,$14.7 MILLION,None
2010-05-01,"['16', '23', '25', '49', '58', '20']",0,$23.0 MILLION,None
2010-05-05,"['13', '34', '40', '47', '57', '11']",0,$31.0 MILLION,None
2010-05-08,"['5', '22', '34', '41', '57', '31']",0,$40.3 MILLION,None
2010-05-12,"['37', '51', '52', '53', '58', '38']",0,$49.7 MILLION,None
2010-05-15,"['15', '21', '23', '28', '36', '20']",0,$60.9 MILLION,None
2010-05-19,"['2', '7', '29', '55', '58', '27']",0,$72.4 MILLION,None
2010-05-22,"['19', '20', '40', '47', '57', '29']",0,$85.4 MILLION,None
2010-05-26,"['1', '6', '10', '13', '20', '32']",0,$98.8 MILLION,None
2010-05-29,"['1', '3', '24', '28', '41', '10']",0,$115.8 MILLION,None
2010-06-02,"['4', '9', '14', '39', '43', '38']",1,$134.9 MILLION,OH
2010-06-05,"['18', '34', '40', '48', '59', '25']",0,$10.5 MILLION,None
2010-06-09,"['14', '22', '27', '32', '49', '5']",0,$15.3 MILLION,None
2010-06-12,"['9', '12', '13', '35', '38', '30']",0,$23.6 MILLION,None
2010-06-16,"['8', '11', '18', '29', '36', '6']",0,$31.8 MILLION,None
2010-06-19,"['9', '30', '31', '50', '54', '39']",0,$41.0 MILLION,None
2010-06-23,"['11', '30', '45', '47', '48', '10']",2,$50.2 MILLION,"MT, OH"
2010-06-26,"['13', '30', '32', '38', '57', '25']",0,$10.4 MILLION,None
2010-06-30,"['6', '38', '43', '47', '48', '27']",0,$14.3 MILLION,None
2010-07-03,"['3', '10', '14', '52', '53', '3']",0,$22.6 MILLION,None
2010-07-07,"['10', '41', '44', '48', '56', '4']",0,$30.0 MILLION,None
2010-07-10,"['20', '21', '27', '28', '56', '4']",1,$38.9 MILLION,FL
2010-07-14,"['20', '21', '23', '38', '42', '6']",0,$10.5 MILLION,None
2010-07-17,"['22', '27', '35', '37', '45', '3']",0,$13.7 MILLION,None
2010-07-21,"['16', '22', '30', '51', '58', '25']",0,$20.7 MILLION,None
2010-07-24,"['20', '30', '38', '46', '59', '27']",0,$28.7 MILLION,None
2010-07-28,"['1', '11', '20', '25', '27', '2']",0,$36.5 MILLION,None
2010-07-31,"['1', '16', '17', '41', '57', '15']",1,$45.8 MILLION,LA
2010-08-04,"['19', '28', '30', '37', '53', '36']",0,$10.7 MILLION,None
2010-08-07,"['4', '22', '26', '31', '52', '30']",0,$13.6 MILLION,None
2010-08-11,"['7', '10', '22', '23', '52', '29']",0,$20.2 MILLION,None
2010-08-14,"['9', '33', '36', '50', '58', '31']",0,$28.1 MILLION,None
2010-08-18,"['4', '32', '33', '47', '55', '39']",0,$35.5 MILLION,None
